date,amount,description
2026-04-01,15000,House rent
2026-04-02,2000,Groceries
2026-04-03,1800,Swiggy food order
2026-04-04,1200,Uber ride
2026-04-05,2500,Restaurant dinner
2026-04-06,1500,Electricity bill
2026-04-07,999,Netflix subscription
2026-04-08,3000,Amazon shopping
2026-04-09,45000,Laptop purchase
2026-04-10,2200,Petrol
2026-04-11,1800,Grocery store
2026-04-12,2700,Dining out
2026-04-13,3500,Clothing shopping
2026-04-14,8000,Medical treatment
2026-04-15,6000,Flight booking
2026-04-16,120000,Car down payment
2026-04-17,500,Tea and snacks
2026-04-18,70000,Gold purchase
2026-04-19,900,Mobile recharge
2026-04-20,25000,Furniture purchase
2026-04-21,300,Bus ticket
2026-04-22,150000,Investment in stocks
2026-04-23,450,Street food
2026-04-24,10000,Phone repair
2026-04-25,200000,Foreign trip package
